sample_no,doc_id,line_png,gt_file,token_index,osmanlica,gt_line
1,88dc077b-d603-4af0-b3c1-0a6203f74ab2,88dc077b-d603-4af0-b3c1-0a6203f74ab2-002.png,88dc077b-d603-4af0-b3c1-0a6203f74ab2-002.gt.txt,19,ایدرك,معلوم والالری بیورلدیغی و لفا ارسال قلنان ژورنالده محرر اولدیغی وجهله طاشجی اصنافندن بعضی عساكر شاهانه ایله منازعه ایدرك اویغونسزلغه
2,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-008.png,423004fa-5205-47a8-9713-37953b6b22b8-008.gt.txt,3,قرار,مذكورهدن برینه قرار ویریلهرك نتیجه قرارك بیلدیریلمسی حقنده مكاتب عسكریه نظارت بهیهسیله جریان ایدن مخابره اوزرینه یازیلان جوابده بو بابده جریان ایدن مذاكراتی متضمن مجلس مذكوردن تنظیم اولونان مذكرهنك ارسال قیلیندیغی
3,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-010.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-010.gt.txt,16,فریضه,اساس اتحاد ایچون وسیله تحریسندن خالی اولمدیغم حالده عمزاده قاانیلری سعادت نصاب فخامت انتساب ایفای فریضه حج ایچون بو طرفلره كلوب
4,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-015.png,fa1bd90d-5fca-4e1f-a032-754c82a44fae-015.gt.txt,8,ذكرایدرز,سكهمز بر، طرهمز بر، ربمزه مسخرز، مسبحز، ذكرایدرز عابدانه، كهكشانك حلقه كبراسنه منسوب برر مجذوبلرز بز۔“
5,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-003.png,54ec03e8-858e-4976-9e36-f4a1945e5130-003.gt.txt,4,نفر,باغیلری اوچ یوز نفر مقدار عشیرت مزبور اشكیاسیله بر وجه مالكانه عهده چاكریده اولان طرسوس
6,423004fa-5205-47a8-9713-37953b6b22b8,423004fa-5205-47a8-9713-37953b6b22b8-009.png,423004fa-5205-47a8-9713-37953b6b22b8-009.gt.txt,24,مخابراتنه,بیان اولونمش و مذكور مذكره لدالمتعه خلاصه مالالی مذكور اوچ نوع تلغرافدن بر نوعی اوردو ایله متحرك اولوب باش قوماندان ایله فرقه قوماندانلقلرینك مخابراتنه مخصوص اولدیغی كبی نوع دیكری میدان محاربه ایله ایلری
7,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-000.png,675e3a55-9125-4502-8f60-b8a5ab6af227-000.gt.txt,5,معدود,یدنجی ماده الت جارحهدن معدود اولمیان شیلر ایله بربرلرینی ضربه جسارت ایدنلرك قباحتلری درجهسنه كوره اون بش كوندن اوج ماهه قدر حپس ایله
8,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-011.png,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-011.gt.txt,6,مناسبه,كیتمسی بو امنیه خیریهیه وسیله مناسبه اتخاذ ایدلمشدر مشارالیهك ذهاب و ایابنده (تحابی فی سبیل الله) وتیرهسنجه حقنده احترامات كامله اجراسیله
9,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-010.png,54ec03e8-858e-4976-9e36-f4a1945e5130-010.gt.txt,13,باج,نام محل منزلنی سد و بنده بادی و مرور و عبور ایدنلردن باج طلبیله رنجیدهدن خالی اولمادقلری
10,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-008.png,54ec03e8-858e-4976-9e36-f4a1945e5130-008.gt.txt,16,ایلهدكلرندن,و هر نه كه نهبی غصب ایلمشلر ایسه مرقومان مزبور علی بك ایله بینلرنده اقتسام ایلهدكلرندن باشقه اق
