osmanlica,transkripsiyon
!حبيله,Hubeyle!
آب صافى,Ab-ı Safi
آب كارون,Ab-ı Karun
آبادان,Abadan
آباران,Abaran
آبانه,Abana
آبرى,Abrı
آبرى و حراله,Abrı ve Harala
آبصافى,Ab-ı Safi
آبغاى,Abagay
آبقرون,Apokoron
آبكور,Abkur
آبيار,Abyar
آبُقُرون,Apokoron
آت,At
آت چكن,Atçeken
آتالانته,Atalanta
آتالانتى,Atalanti
آتجه,Atça
آتنه,Atina
آتنه كورفزى,Atina
آتوقو,Atoko
آتيكان,Atikan
آتينه,Atina
آتچه,Atça
آجارۀ سفلى,Acara-i Süfla
آجارۀ عليا,Acara-i Ulya
آجان,Acan
آجرى,Acari
آجق باش,Açıkbaş
آجه آباد,Eceabad
آجي صُويىِ,Acısuyu
آحسا,Ahsa
آحلاط,Ahlat
آخته پولى,Ahtapolu
آخلاط,Ahlat
آخى كريه,Ahikerye
آخى چلبى,Ahiçelebi
آخى گريه,Ahikerye (Ahigerye)
آخى گَرْيه,Ahikerye (Ahigerye)
آخي گريه,Ahikerye (Ahigerye)
آخير طاغلرى,Ahır Dağları
آخيولى,Ahyolu
آخْميم,Ahmim
آدالفى اطه لرى,Adelfi (Adalfi) Adaları
آدرياتيق,Adriyatik
آدلفا,Adelfa
آدلفوپولون,Adelfopolon
آدلفى,Adelfi
آدنه,Adana
آدنه مع يره كيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يره گيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يوره كيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يوره گيل,Adana maa Yüreğir (Yüreğil)
آدولوقو,Adoluko
آراج,Araç
آراج اكدير,Araç İğdir
آراد,Arad
آراس,Aras
آرالق,Aralık
آربه,Arba
آرتق آباد مع گيرون و قنغال,Artukabad maa Gürün (Girün) ve Kangal
آرحوى مع ويچه,Arhavi maa Viçe
آرخانس,Arhanis
آرخوى,Arhavi
آردانوچ,Ardanuç
آردشان,Ardeşen
آردنوچ,Ardanuç
آرده شن,Ardeşen
آردوس,Ardos
آردوشن,Arduşin
آردوشين,Arduşin
آرزوشخو,Arzuşhav
آرسيدا,Arsida
آرشيپل اطه لرى,Arşipel Adaları
آرغد خانى,Argıdhanı
آرغيد خانى,Argıdhanı
آرغيرو قاسترو,Argirokastro
آرقصه,Arkasa
آرقه,Arga (Arka)
آرقودى,Arkudi
آركى,Arki
آركيرو,Argiro
آركيرپولى,Argiropoli
آرم,Arım
آرمنوس,Armenos
آرمودان,Armudan
آرمودايلى,Armudili
آرمودلى,Armudlu
آرمودن,Armudan
آرموره,Armura
آرميه,Armiye
آرميه مع قوقوش,Armiye maa Kokoş
آرناود بلغرادى,Arnavud Belgradı
آرناووتى,Arnavuti
آريم,Arım
آريم كرچلو,Arım-ı Kireçli
آرپاز,Arpaz
آرگرى مع دلوينه,Argirikasrı (Argiri) maa Delvine
آرگوش,Arguş
آزاق,Azak
آزاقپور,Azakpur
آزاپ,Azap
آزطواى,Azdavay
آزمير,Azmir
آزناور,Aznavur
آزورت,Azort
آزِينۀ اياثلوغ,Azine-i Ayasluğ
آش قلعه,Aşkale
آشتى,Aşti
آشودى,Aşudi
آشيد,Aşid
آشْمُون,Aşmun
آصوان,Asvan
آصى,Asi
آطاله,Adala
آطره نوس مع ناحيۀ جبل جديد,Atranos maa Nahiye-i Cebel-i Cedid
آطله,Adala
آطمه لو,Atmalı
آطنه,Adana
آطه,Ada
