osmanlica,transkripsiyon
آب كارون,Ab-ı Karun
آبصافى,Ab-ı Safi
ابصافى,Ab-ı Safi
اب صافي,Ab-ı Safi
اب صافى,Ab-ı Safi
آب صافى,Ab-ı Safi
آب صوفى,Ab-ı Safi/Abısofu
آبْصافى,Ab-ı Safi/Absafi
الب صوفى,Ab-ı Safi/Alpsofu
اباد,Abad
آبادان,Abadan
عبادان,Abadan
خضر,Abadan/Hazar
آبادان,Abadan/Hazar
الحضرا,Abadan/Hazar (el-Hazra)
ابغاى,Abagay
آبغاى,Abagay
ابااغا,Abagay/Abaağa
آبانه,Abana
عبانه,Abana
اورانيه,Abana/Evrenye
كينولى,Abana/Ginolu
كيونلى,Abana/Ginolu (Keyvenli)
گينولى مع آورنيه,Abana/Ginolu maa Evrenye
آباران,Abaran
اباران,Abaran
ابازا,Abaza
ابازه,Abaza
عباس,Abbas
عبّاس,Abbas
ابدال,Abdal
عبدالان,Abdalan
ابدانان,Abdanan
عبدى اولان,Abdiulan
عبدى اولان طاشليسى,Abdiulan/Abdiulantaşlısı
عبد الدره,Abduddürre
عبد الفادى,Abdulfadi
عبد الغاب,Abdulgab
عبد الغالي,Abdulgali
عبد الحليم,Abdulhalim
عبد القاف,Abdulkaf
عبدالله,Abdullah
عبد الله ديه,Abdullahdiye
عبدالله قروص,Abdullahkurus
عبد الرحمن بك اوبه سى,Abdurrahmanbeyobası
عبد الرحمن غازى,Abdurrahmangazi
عبش,Abeş
عيش,Abeş
ابها,Abha
نفس ابها,Abha merkez
ابكور,Abkur
آبكور,Abkur
ايكور,Abkur/İnör
اب پاره,Abpare
ابرى,Abrı
آبرى,Abrı
آبرى و حراله,Abrı ve Harala
ابرينك,Abrink
ابرانك,Abrink/Abranik
امرانك,Abrink/Amranik
عبس,Abs
عبوس,Abus
عبوين,Abveyn
آبيار,Abyar
ايبار,Abyar/İbar
اجاجى,Acacı
اچاجى و اوزى قواغى,Acacı (Açacı) ve Özükavağı
آجان,Acan
غريب,Acan/Garib
عجار,Acar
آچار,Acar/Açar
اجره,Acara
اجاره,Acara
اجارۀ سفلا,Acara-i Süfla
آجارۀ سفلى,Acara-i Süfla
اجرۀ سفلا,Acara-i Süfla
اجرۀ سفلى,Acara-i Süfla
اجارۀ سفلى,Acara-i Süfla
اجارۀ عليا,Acara-i Ulya
آجارۀ عليا,Acara-i Ulya
اجرۀ عليا,Acara-i Ulya
اجاره ماجقال,Acara/Acara-i Maçahel (Maçakal)
اجره دره سى,Acaraderesi
اجرى,Acari
آجرى,Acari
اجري سفلا,Acari-i Süfla/Acari-yi Süfla
اجرى عليا,Acari-i Ulya/Acari-yi Ulya
عجم بابا,Acembaba
عجمى,Acemi
عجمستان,Acemistan
آجي صُويىِ,Acısuyu
عجير,Acir
عجلون,Aclun
عجلون كوره,Aclun Küre
كوره,Aclun Küre/Küre
عجلون مع توابع,Aclun maa Tevabi
عجلون و بنى وهدان,Aclun ve Benivehdan
جبل عجلون,Aclun/Cebel-i Aclun
جبَل عَجْلُون,Aclun/Cebel-i Aclun
اجنان كارحانه,Acnan-ı Karhane
اجنان تورك,Acnan-ı Türk
عجوز,Acuz
عجوز و زاخوم,Acuz ve Zahom
اوجوس,Acuz/Ucus
عجوزه,Acuze
عجوه,Acve
اچق باش,Açıkbaş
اجق باش,Açıkbaş
آجق باش,Açıkbaş
آچيپوپولو,Açipopolo
اطه,Ada
آطه,Ada
آطه,Ada
اده,Ada
اطه بورنكى,Adaburnuki (?)
آطه كيده,Adagide
اطه هاء ملحقه,Adaha-i Mülhaka
اطه قلعه,Adakale
آطه,Adakale/Ada
اطۀ كبير,Adakale/Ada-i Kebir
اطه قلعه سى,Adakale/Adakalesi
اطۀ كبير,Adakale/Adakalesi/Ada-i Kebir
اطله,Adala
آطاله,Adala
اطاله,Adala
آطله,Adala
اطاله مع منده حوريه,Adala maa Mendehorya
اطه لر,Adalar
آطه لر,Adalar
آطه لر دكزى,Adalar Denizi
اطه,Adalar/Ada
اداليه,Adalya
ادامانلو عشيرتى,Adamanlı Aşireti
اطنه,Adana
آطنه,Adana
آطنه,Adana
ادنه,Adana
ادانه,Adana
اطانه,Adana
آدنه,Adana
آدنه,Adana
ادنَه,Adana
آدنه مع يوره كيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يره كيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يوره گيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يره گيل,Adana maa Yüreğir (Yüreğil)
نفس آطنه,Adana merkez
نفس ادنه,Adana merkez
نفس اطنه,Adana merkez
اطه پازارى,Adapazarı
آطه پازارى,Adapazarı
اطه بازارى,Adapazarı
اطه پازارى مع صپانجه,Adapazarı maa Sapanca
آطه پازارى مع صبانجه,Adapazarı maa Sapanca (Sabanca)
آطه بازاري مع صبانجه,Adapazarı maa Sapanca (Sabanca)
اطه بازارى مع صبانجه,Adapazarı maa Sapanca (Sabanca)
آطه پازارى مع صبانجى,Adapazarı maa Sapanca (Sabancı)
اده,Adapazarı/Ada
اطه ويرن,Adaviran
آدلفا,Adelfa
آدلفى,Adelfi
آدالفى اطه لرى,Adelfi (Adalfi) Adaları
ادلفيا,Adelfiya
آدلفوپولون,Adelfopolon
عدن,Aden
اديحون,Adıhun
عادل,Adil
عادلجواز,Adilcevaz
عادالجواز,Adilcevaz
عادى الجواز,Adilcevaz
عادلجواز مع بليس,Adilcevaz maa Bitlis (Bilis)
عدليه,Adliye
عَدْلِيَه,Adliye
آدولوقو,Adoluko
آدرياتيق,Adriyatik
ونديك,Adriyatik/Venedik
عفك,Afak
عفار,Affar
افغان,Afgan
افلاطار,Aflatar
افلاتار,Aflatar
افريقا,Afrika
افريقاى عثمانى,Afrika-yı Osmani
آفرقيه مع باجه,Afrikıye maa Bace
آفْرِقِيّه مع باجه,Afrikıye maa Bace
آفريقيّه مع باجه,Afrikıye maa Bace
آفرقيه مع مطر,Afrikıye maa Matar
آفرين,Afrin
افشار,Afşar
آفشار,Afşar
آفشار,Afşar
افشار معه ناخيۀ ايرله,Afşar maa Nahiye-i Barla/Afşar maa Nahiye-i İrle
افشار و بارله,Afşar ve Barla
اوشار,Afşar/Avşar
آوشار,Afşar/Avşar
اغاچ اغيل,Ağaçağıl
اغاجرى,Ağaçeri
اغاجري,Ağaçeri
آغاجلو,Ağaçlı
اغاچلى,Ağaçlı
آغاچلو,Ağaçlı
اغاجلى,Ağaçlı
اغادوه,Ağadeve
اغاكس,Ağakis
آغاكس,Ağakis
اغاكيس,Ağakis
اخاكيس,Ağakis/Ahakis
اخكيس,Ağakis/Ahakis
ارغاكس,Ağakis/Argakis
اغاتونيس,Ağatonis
اغاتونيسى,Ağatonis
اشك,Ağatonis (Gaydaronisi)/Eşek
غاطونيسى,Ağatonis/Gatonisi
غاتونيسى,Ağatonis/Gatonisi
غايدارو,Ağatonis/Gaydaro
اغجه,Ağca
اغجه بدي,Ağcabedi
غجه قلعه,Ağcakale
اغجه قلعه,Ağcakale
قلعۀ اغجه,Ağcakale/Kale-i Ağca
آغجه قشله,Ağcakışla
املاك,Ağcakışla/Emlak
اقچه لر,Ağcalar/Akçalar
قلعۀ سيوكه,Ağcalar/Kale-i Sivke
آغين,Ağın
اغين,Ağın
اغلاصون,Ağlasun
اغلاسون,Ağlasun
اغلسون,Ağlasun
آغلاسون,Ağlasun
آغلاسون طاغلرى,Ağlasun Dağları
اغلسون مع انجير بازرارى,Ağlasun maa İncirpazarı
اغلاسون مع انجير بازارى,Ağlasun maa İncirpazarı
اغلاسون مع انجير,Ağlasun maa İncirpazarı/Ağlasun maa İncir
اغلاسون مع انجير,Ağlasun maa İncirpazarı/Ağlasun maa İncir
انجير مع اغلاسون,Ağlasun maa İncirpazarı/İncir maa Ağlasun
انجيرلى مع اغلاسون,Ağlasun maa İncirpazarı/İncirli maa Ağlasun
بل اوكى,Ağlasun/Belönü
اغلى,Ağlı
اعلى,Ağlı/Ala
اغرافه,Ağrafa
آغرافه,Ağrafa
اغرفه,Ağrafa
فنار اغرفه,Ağrafa/Fener Ağrafa
اغرلوسا,Ağralosa
اغرلوسا,Ağralosa/Ağenosa
اغريوسا,Ağralosa/Ağreyosa
اغري,Ağrı
آرارت,Ağrı/Ararat
اغريبوز,Ağrıboz
آغريبوز,Ağrıboz
اغربوز,Ağrıboz
ابوآ,Ağrıboz/Eboa
أِغرِبوز,Ağrıboz/Igrıboz
نغروپونت,Ağrıboz/Neğropont
آغريبوز,Ağrıboz/Neğroponte
اغرجان,Ağrıcan
آغريجان,Ağrıcan
اغريجان,Ağrıcan
اغردس,Ağrıdos
اغردوس,Ağrıdos
آغريدوس,Ağrıdos
اغراس,Ağrıdos/Ağras
اوغرى طاش,Ağrıdos/Uğrıtaş
اوغر يطاش,Ağrıdos/Uğrıtaş
اغريطاش,Ağrıdos/Uğrıtaş
آغرى كول,Ağrıgöl
اغريلوس,Ağrilos
اغرييا,Ağriya
آغريا,Ağriya
اغروس,Ağros
آغروس,Ağros
اغروس مع كچيبورلى,Ağros maa Keçiborlu
اغراس,Ağros/Ağras
اغرس,Ağros/Ağras
اغردوس,Ağros/Ağrıdos
آتابك,Ağros/Atabey
اغروب,Ağrub
اغوللى,Ağullu
اغونصوص,Ağunsos
اغنصوص,Ağunsos
آغستوس,Ağustos
اغستوس,Ağustos
اغوستوس,Ağustos
اغوستوس,Ağustos
اغوه,Ağva
آغوه,Ağva
اغوانس,Ağvanis
آغوانس,Ağvanis
اغوانيس,Ağvanis
اغويران,Ağviran
اغويران عليا,Ağviran/Ağviran-ı Ulya
اخا,Aha
احدلر,Ahadlar
احدلر كبير,Ahadlar-ı Kebir
احلطبا,Ahaltaba
اخبصور,Ahbisor
احجرك,Ahçirik
احچرك,Ahçirik
اخ جورك,Ahçirik/Ahçurik
