sample_no,doc_id,line_id,osmanlica,reference
1,2d16a812-a123-4f29-9d3d-34d3c0be1498,2d16a812-a123-4f29-9d3d-34d3c0be1498-008,مذكورنك رسمیله استعمالنه دعیر تعریفاتنی خاوی فرانسزجه بر لایحه ویرمش اولمغن منظور علی نظارت پناهیلری بیورولماق اوزره لفا تقدیم قیلینمش و بونك عسكریجه,mezkûrenin resmiyle isti‘mâline dâ’ir ta‘rîfâtını hâvî Fransızca bir lâyiha vermiş olmağın manzûr-ı âlî-i nezâret-penâhîleri buyurulmak üzere leffen takdîm kılınmış ve bunun askerîce
2,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-006,محبة منی) مطلعندن رونما و اهله ادله موالات و مواخاته براعة الاستهلال حقیقت انتما اولان شرایف تكریمات اخلاصكاری,muhabbeten minni matlamdan rû-nümâ ve ehille-i edille-i müvâlât ve müâhâtihi berâatil-istihlâl hakîkat-i intimâ olan şerâif-i tekrîmât-ı ihlaskâri
3,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-007,ایدن اولور ایسه فرضا برینك مال و املاكنه تسلطی وقوعنده منع و دفع اولنوب شاید بر تقریب ایله ضبط ایتمش بولنور ایسه مضبوط اولان مال و املاك,eden olur ise faraza birinin mal ve emlâkine tasallutu vukuunda men ü def olunup şayet bir takrib ile zabtetmiş bulunur ise mazbût olan mal ve emlâk
4,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-010,نام محل منزلنی سد و بنده بادی و مرور و عبور ایدنلردن باج طلبیله رنجیدهدن خالی اولمادقلری,nâm mahall menzilini sedd ü bende bâdî ve mürûr ü ubûr edenlerden bâc talebiyle rencîdeden hâlî olmadıkları
5,54ec03e8-858e-4976-9e36-f4a1945e5130,54ec03e8-858e-4976-9e36-f4a1945e5130-005,مظالمه و خساراته اجتسارلر اشكار اولمقدن ناشی اهالی قرعه اشقیای مرقومهیی بو افعال شنیعهدن منعی,mezâlime ve hasârâta ictisârlar âşikâr olmakdan nâşi ahâlî-i kurâ eşkiyâ-yı merkumeyi bu efâl-i şenîadan meni
6,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-018,رو نما اولان اختلافات اوزرینه برو طرف اكرادندن بعضیلری بحسب الجنسیه معاونته سكرتمكده اولدقلری لدی الاستحبار,rû-nümâ olan ihtilâfât üzerine beri taraf ekradından bazıları bi-hasebil-cinsiye muâvenete seğirtmekde oldukları ledeI-istihbâr
7,9b55f175-618f-4cf6-8ccf-8936d1cbff34,9b55f175-618f-4cf6-8ccf-8936d1cbff34-000,بنم وزیر اعظمم,Benim vezir-i azamım
8,1c4a2080-987c-4e68-b9e3-3a94ee454ff9,1c4a2080-987c-4e68-b9e3-3a94ee454ff9-014,اكا ترفیق اولنمغله بلطفه تعالی اولطرف باهر الشرفه مواصلتنده بو بحثی شفاها دخی تقریر و كرك حدود ایشلرنده و كرك خصوصات سایرهیه,ona terfîk olunmakla bi-lutfihi Teâlâ ol taraf-ı bâhirüş-şerefe muvâsalâtında bu bahsi şifahen dahi takrir ve gerek hudut işlerinde ve gerek husûsât-ı sâireye
9,675e3a55-9125-4502-8f60-b8a5ab6af227,675e3a55-9125-4502-8f60-b8a5ab6af227-023,مصر والیلرینه احسان بیورلمش اولان وراثت فرمانی موجبنجه طرف سلطنت سنیهدن وضع و تاسیس بیورلمش اولان اشبو قوانین و نظاماتك مصرده,Mısır valilerine ihsan buyrulmuş olan verâset fermanı mûcebince taraf-ı Saltanat-ı Seniyeden vaz ve tesis buyrulmuş olan işbu kavânin ve nizâmâtın Mısırda
10,fa1bd90d-5fca-4e1f-a032-754c82a44fae,fa1bd90d-5fca-4e1f-a032-754c82a44fae-013,داهیه خلقت، برر نور عالمییز بز۔ بویله یوز بیك دیل ایله یوز بیك برهان كوستریرز، ایشیتدیریرز انسان,"dâhiye-i hilkat, birer nûr âlemiyiz biz. Böyle yüz bin dil ile yüz bin burhân gösteririz, işittiririz insan"
