osmanlica,transkripsiyon
!حبيله,Hubeyle!
آب صافى,Ab-ı Safi
آب كارون,Ab-ı Karun
آبادان,Abadan
آبانه,Abana
آبرى,Abrı
آبرى و حراله,Abrı ve Harala
آبصافى,Ab-ı Safi
آبغاى,Abagay
آبقرون,Apokoron
آبُقُرون,Apokoron
آت,At
آتالانتى,Atalanti
آتجه,Atça
آتنه,Atina
آتنه كورفزى,Atina
آتوقو,Atoko
آتيكان,Atikan
آتينه,Atina
آتچه,Atça
آجارۀ سفلى,Acara-i Süfla
آجان,Acan
آجرى,Acari
آجق باش,Açıkbaş
آجه آباد,Eceabad
آحسا,Ahsa
آحلاط,Ahlat
آخته پولى,Ahtapolu
آخلاط,Ahlat
آخى كريه,Ahikerye
آخى چلبى,Ahiçelebi
آخى گريه,Ahikerye (Ahigerye)
آخى گَرْيه,Ahikerye (Ahigerye)
آخي گريه,Ahikerye (Ahigerye)
آخير طاغلرى,Ahır Dağları
آخيولى,Ahyolu
آدالفى اطه لرى,Adelfi (Adalfi) Adaları
آدرياتيق,Adriyatik
آدلفا,Adelfa
آدلفى,Adelfi
آدنه,Adana
آدنه مع يره كيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يره گيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يوره كيل,Adana maa Yüreğir (Yüreğil)
آدنه مع يوره گيل,Adana maa Yüreğir (Yüreğil)
آدولوقو,Adoluko
آراج اكدير,Araç İğdir
آراد,Arad
آراس,Aras
آرالق,Aralık
آرتق آباد مع گيرون و قنغال,Artukabad maa Gürün (Girün) ve Kangal
آرخانس,Arhanis
آرخوى,Arhavi
آردانوچ,Ardanuç
آردشان,Ardeşen
آردنوچ,Ardanuç
آرده شن,Ardeşen
آردوس,Ardos
آردوشن,Arduşin
آردوشين,Arduşin
آرزوشخو,Arzuşhav
آرسيدا,Arsida
آرشيپل اطه لرى,Arşipel Adaları
آرغيرو قاسترو,Argirokastro
آرقصه,Arkasa
آرقه,Arga (Arka)
آرقودى,Arkudi
آركى,Arki
آركيرپولى,Argiropoli
آرم,Arım
آرمنوس,Armenos
آرمودان,Armudan
آرمودايلى,Armudili
آرمودلى,Armudlu
آرمودن,Armudan
آرميه,Armiye
آرميه مع قوقوش,Armiye maa Kokoş
آرناود بلغرادى,Arnavud Belgradı
آرناووتى,Arnavuti
آريم,Arım
آريم كرچلو,Arım-ı Kireçli
آرپاز,Arpaz
آرگرى مع دلوينه,Argirikasrı (Argiri) maa Delvine
آرگوش,Arguş
آزاق,Azak
آزاقپور,Azakpur
آزاپ,Azap
آزطواى,Azdavay
آزمير,Azmir
آزناور,Aznavur
آش قلعه,Aşkale
آشتى,Aşti
آشودى,Aşudi
آشيد,Aşid
آشْمُون,Aşmun
آصى,Asi
آطاله,Adala
آطره نوس مع ناحيۀ جبل جديد,Atranos maa Nahiye-i Cebel-i Cedid
آطله,Adala
آطمه لو,Atmalı
آطنه,Adana
آطه,Ada
آطه بازاري مع صبانجه,Adapazarı maa Sapanca (Sabanca)
آطه كيده,Adagide
آطه لر,Adalar
آطه لر دكزى,Adalar Denizi
آطه پازارى,Adapazarı
آطه پازارى مع صبانجه,Adapazarı maa Sapanca (Sabanca)
آطه پازارى مع صبانجى,Adapazarı maa Sapanca (Sabancı)
آغاجلو,Ağaçlı
آغاكس,Ağakis
آغاچلو,Ağaçlı
آغجه قشله,Ağcakışla
آغرافه,Ağrafa
آغروس,Ağros
آغرى كول,Ağrıgöl
آغريا,Ağriya
